Sept. 14, 2020   13:07:46
Linear Sweep Voltammetry,
File: c:\users\zhanglei\desktop\zzy\ivData Source:  Experiment,
Instrument Model:  CHI660E,
Header: ,
Note: ,
,
Init E (V) = 0,
Final E (V) = 1.2,
Scan Rate (V/s) = 0.1,
Sample Interval (V) = 0.001,
Quiet Time (sec) = 2,
Sensitivity (A/V) = 0.01,
,
,
Potential/V, Current/A
,
0,-3.60E-04
0.001,-3.49E-04
0.002,-3.39E-04
0.003,-3.30E-04
0.004,-3.20E-04
0.005,-3.10E-04
0.006,-3.01E-04
0.007,-2.92E-04
0.008,-2.83E-04
0.009,-2.74E-04
0.01,-2.64E-04
0.011,-2.56E-04
0.012,-2.47E-04
0.013,-2.39E-04
0.014,-2.30E-04
0.015,-2.22E-04
0.016,-2.14E-04
0.017,-2.06E-04
0.018,-1.98E-04
0.019,-1.90E-04
0.02,-1.82E-04
0.021,-1.75E-04
0.022,-1.67E-04
0.023,-1.60E-04
0.024,-1.53E-04
0.025,-1.45E-04
0.026,-1.38E-04
0.027,-1.31E-04
0.028,-1.25E-04
0.029,-1.18E-04
0.03,-1.11E-04
0.031,-1.05E-04
0.032,-9.86E-05
0.033,-9.24E-05
0.034,-8.64E-05
0.035,-8.06E-05
0.036,-7.43E-05
0.037,-6.85E-05
0.038,-6.27E-05
0.039,-5.71E-05
0.04,-5.14E-05
0.041,-4.57E-05
0.042,-4.03E-05
0.043,-3.50E-05
0.044,-2.98E-05
0.045,-2.44E-05
0.046,-1.91E-05
0.047,-1.41E-05
0.048,-9.13E-06
0.049,-4.15E-06
0.05,1.11E-06
0.051,6.04E-06
0.052,1.10E-05
0.053,1.58E-05
0.054,2.06E-05
0.055,2.54E-05
0.056,3.04E-05
0.057,3.50E-05
0.058,3.97E-05
0.059,4.45E-05
0.06,4.96E-05
0.061,5.44E-05
0.062,5.94E-05
0.063,6.41E-05
0.064,6.92E-05
0.065,7.42E-05
0.066,7.93E-05
0.067,8.42E-05
0.068,8.95E-05
0.069,9.45E-05
0.07,1.00E-04
0.071,1.06E-04
0.072,1.11E-04
0.073,1.17E-04
0.074,1.23E-04
0.075,1.28E-04
0.076,1.34E-04
0.077,1.40E-04
0.078,1.46E-04
0.079,1.52E-04
0.08,1.58E-04
0.081,1.64E-04
0.082,1.71E-04
0.083,1.78E-04
0.084,1.85E-04
0.085,1.91E-04
0.086,1.99E-04
0.087,2.06E-04
0.088,2.13E-04
0.089,2.21E-04
0.09,2.29E-04
0.091,2.36E-04
0.092,2.45E-04
0.093,2.53E-04
0.094,2.61E-04
0.095,2.69E-04
0.096,2.78E-04
0.097,2.87E-04
0.098,2.96E-04
0.099,3.05E-04
0.1,3.15E-04
0.101,3.24E-04
0.102,3.34E-04
0.103,3.44E-04
0.104,3.54E-04
0.105,3.64E-04
0.106,3.74E-04
0.107,3.84E-04
0.108,3.95E-04
0.109,4.06E-04
0.11,4.17E-04
0.111,4.28E-04
0.112,4.39E-04
0.113,4.51E-04
0.114,4.62E-04
0.115,4.74E-04
0.116,4.86E-04
0.117,4.98E-04
0.118,5.10E-04
0.119,5.22E-04
0.12,5.35E-04
0.121,5.47E-04
0.122,5.60E-04
0.123,5.73E-04
0.124,5.86E-04
0.125,5.99E-04
0.126,6.12E-04
0.127,6.26E-04
0.128,6.39E-04
0.129,6.53E-04
0.13,6.67E-04
0.131,6.81E-04
0.132,6.95E-04
0.133,7.09E-04
0.134,7.23E-04
0.135,7.38E-04
0.136,7.52E-04
0.137,7.67E-04
0.138,7.82E-04
0.139,7.96E-04
0.14,8.11E-04
0.141,8.26E-04
0.142,8.41E-04
0.143,8.56E-04
0.144,8.72E-04
0.145,8.87E-04
0.146,9.02E-04
0.147,9.18E-04
0.148,9.33E-04
0.149,9.49E-04
0.15,9.65E-04
0.151,9.81E-04
0.152,9.97E-04
0.153,1.01E-03
0.154,1.03E-03
0.155,1.05E-03
0.156,1.06E-03
0.157,1.08E-03
0.158,1.10E-03
0.159,1.11E-03
0.16,1.13E-03
0.161,1.14E-03
0.162,1.16E-03
0.163,1.18E-03
0.164,1.19E-03
0.165,1.21E-03
0.166,1.23E-03
0.167,1.24E-03
0.168,1.26E-03
0.169,1.28E-03
0.17,1.29E-03
0.171,1.31E-03
0.172,1.33E-03
0.173,1.34E-03
0.174,1.36E-03
0.175,1.38E-03
0.176,1.40E-03
0.177,1.41E-03
0.178,1.43E-03
0.179,1.45E-03
0.18,1.47E-03
0.181,1.48E-03
0.182,1.50E-03
0.183,1.52E-03
0.184,1.54E-03
0.185,1.55E-03
0.186,1.57E-03
0.187,1.59E-03
0.188,1.61E-03
0.189,1.62E-03
0.19,1.64E-03
0.191,1.66E-03
0.192,1.68E-03
0.193,1.69E-03
0.194,1.71E-03
0.195,1.73E-03
0.196,1.75E-03
0.197,1.76E-03
0.198,1.78E-03
0.199,1.80E-03
0.2,1.82E-03
0.201,1.84E-03
0.202,1.85E-03
0.203,1.87E-03
0.204,1.89E-03
0.205,1.91E-03
0.206,1.93E-03
0.207,1.94E-03
0.208,1.96E-03
0.209,1.98E-03
0.21,2.00E-03
0.211,2.02E-03
0.212,2.04E-03
0.213,2.05E-03
0.214,2.07E-03
0.215,2.09E-03
0.216,2.11E-03
0.217,2.13E-03
0.218,2.14E-03
0.219,2.16E-03
0.22,2.18E-03
0.221,2.20E-03
0.222,2.22E-03
0.223,2.24E-03
0.224,2.26E-03
0.225,2.28E-03
0.226,2.29E-03
0.227,2.31E-03
0.228,2.33E-03
0.229,2.35E-03
0.23,2.37E-03
0.231,2.39E-03
0.232,2.41E-03
0.233,2.43E-03
0.234,2.44E-03
0.235,2.46E-03
0.236,2.48E-03
0.237,2.50E-03
0.238,2.52E-03
0.239,2.54E-03
0.24,2.56E-03
0.241,2.58E-03
0.242,2.59E-03
0.243,2.61E-03
0.244,2.63E-03
0.245,2.65E-03
0.246,2.67E-03
0.247,2.69E-03
0.248,2.71E-03
0.249,2.73E-03
0.25,2.75E-03
0.251,2.77E-03
0.252,2.79E-03
0.253,2.81E-03
0.254,2.83E-03
0.255,2.85E-03
0.256,2.86E-03
0.257,2.88E-03
0.258,2.90E-03
0.259,2.92E-03
0.26,2.94E-03
0.261,2.96E-03
0.262,2.98E-03
0.263,3.00E-03
0.264,3.02E-03
0.265,3.04E-03
0.266,3.06E-03
0.267,3.07E-03
0.268,3.09E-03
0.269,3.11E-03
0.27,3.13E-03
0.271,3.15E-03
0.272,3.17E-03
0.273,3.19E-03
0.274,3.21E-03
0.275,3.23E-03
0.276,3.25E-03
